-1820,76
-1813,79
-1806,89
-1799,84
-1792,83
-1785,84
-1778,86
-1771,82
-1764,74
-1757,70
-1750,70
-1743,70
-1736,67
-1729,65
-1722,67
-1715,69
-1708,64
-1701,65
-1694,65
-1687,66
-1680,62
-1673,70
-1666,66
-1659,64
-1652,65
-1645,63
-1638,63
-1631,63
-1624,62
-1617,61
-1610,61
-1603,64
-1596,63
-1589,59
-1582,63
-1575,63
-1568,64
-1561,63
-1554,61
-1547,63
-1540,59
-1533,62
-1526,64
-1519,67
-1512,66
-1505,67
-1498,67
-1491,67
-1484,68
-1477,70
-1470,70
-1463,70
-1456,72
-1449,75
-1442,86
-1435,79
-1428,75
-1421,77
-1414,77
-1407,77
-1400,71
-1393,68
-1386,68
-1379,65
-1372,66
-1365,63
-1358,63
-1351,62
-1344,65
-1337,62
-1330,65
-1323,65
-1316,67
-1309,60
-1302,63
-1295,62
-1288,64
-1281,64
-1274,65
-1267,61
-1260,60
-1253,60
-1246,58
-1239,62
-1232,60
-1225,64
-1218,64
-1211,63
-1204,64
-1197,66
-1190,64
-1183,65
-1176,62
-1169,67
-1162,64
-1155,65
-1148,67
-1141,65
-1134,67
-1127,69
-1120,68
-1113,69
-1106,66
-1099,72
-1092,72
-1085,74
-1078,89
-1071,79
-1064,79
-1057,81
-1050,82
-1043,84
-1036,75
-1029,79
-1022,74
-1015,71
-1008,70
-1001,68
-994,67
-987,68
-980,67
-973,67
-966,67
-959,66
-952,69
-945,65
-938,66
-931,67
-924,65
-917,67
-910,69
-903,65
-896,64
-889,62
-882,62
-875,67
-868,63
-861,63
-854,65
-847,65
-840,69
-833,68
-826,68
-819,70
-812,69
-805,70
-798,68
-791,67
-784,70
-777,68
-770,69
-763,71
-756,68
-749,70
-742,69
-735,72
-728,74
-721,79
-714,91
-707,85
-700,81
-693,83
-686,83
-679,92
-672,81
-665,76
-658,75
-651,74
-644,75
-637,73
-630,76
-623,72
-616,70
-609,73
-602,72
-595,73
-588,73
-581,71
-574,70
-567,70
-560,68
-553,69
-546,68
-539,71
-532,69
-525,67
-518,71
-511,72
-504,73
-497,72
-490,71
-483,76
-476,80
-469,72
-462,74
-455,73
-448,80
-441,76
-434,74
-427,73
-420,72
-413,75
-406,77
-399,78
-392,74
-385,75
-378,75
-371,75
-364,79
-357,84
-350,86
-343,100
-336,95
-329,89
-322,89
-315,95
-308,88
-301,83
-294,80
-287,79
-280,76
-273,73
-266,75
-259,74
-252,70
-245,72
-238,67
-231,62
-224,70
-217,76
-210,80
-203,81
-196,86
-189,84
-182,87
-175,85
-168,86
-161,84
-154,83
-147,87
-140,85
-133,81
-126,83
-119,82
-112,83
-105,82
-98,78
-91,82
-84,81
-77,82
-70,80
-63,84
-56,82
-49,81
-42,84
-35,83
-28,80
-21,87
-14,84
-7,81
0,88
7,91
14,103
21,96
28,93
35,95
42,95
49,99
56,90
63,89
70,87
77,84
84,85
91,82
98,83
105,82
112,82
119,82
126,82
133,82
140,84
147,80
154,81
161,81
168,80
175,83
182,84
189,81
196,80
203,79
210,78
217,83
224,80
231,80
238,82
245,82
252,84
259,84
266,83
273,84
280,82
287,85
294,84
301,85
308,86
315,85
322,86
329,87
336,86
343,88
350,87
357,90
364,91
371,94
378,107
385,99
392,97
399,99
406,99
413,102
420,94
427,92
434,90
441,88
448,88
455,86
462,87
469,85
476,85
483,85
490,86
497,86
504,88
511,83
518,84
525,84
532,84
539,86
546,87
553,85
560,84
567,83
574,82
581,86
588,84
595,84
602,86
609,85
616,87
623,87
630,86
637,88
644,85
651,88
658,87
665,88
672,90
679,89
686,90
693,91
700,90
707,92
714,90
721,93
728,95
